,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"0,0","6805,580400000001","0,0","3736,4004000000004","0,0","0,0","2568,1355999999996","37796,4","10465,2","142888,2228","107,99999999999999","446,9868","11986,5564","187894,8432","214373,37960000001","37582,405199999994","11923,2","14,4","2611,3392000000003","392,40000000000003","8,150400000000001","15195,056400000001","22,006800000000002","153,27","135,78480000000002","0,0","0,0","0,0","10546,441200000001","1292,4","3537,8784","5550,947999999999","14,4","0,0","25795,2672","434,7864","72,0","273,6","26478,5364","0,0"
2005,"0,0","8562,1752","0,0","5432,5512","0,0","0,0","2634,1955999999996","52531,200000000004","11422,8","161011,29960000003","127,19160000000001","437,472","9550,227600000002","213276,618","246048,49440000003","34243,977600000006","12207,6","50,4","5966,496","468,94320000000005","15,174","16827,6672","23,972400000000007","166,1868","150,5196","0,0","0,0","0,0","13706,517600000001","1198,8","5440,0572","6050,4947999999995","21,6","0,0","26729,7696","409,40280000000007","115,2","122,4","32771,8764","0,0"
2006,"0,0","11401,664399999998","0,0","7197,832800000001","0,0","0,558","3305,4012000000002","65581,2","11044,800000000001","185715,54360000003","144,0","410,85","9986,4","241068,9816","274469,33160000003","38930,183999999994","12157,199999999999","39,6","4552,236","462,3588","7,182","18384,5952","89,1252","198,7776","153,2808","0,0","0,0","0,0","12648,69","1396,8","7174,044","6137,978400000002","16,030800000000003","0,0","29221,326","396,91799999999995","1433,9304000000002","208,26","33400,35","0,0"
2007,"0,0","14355,118800000002","0,0","8652,4812","0,0","5,1732","4302,932400000001","85208,40000000001","11174,4","211665,07800000004","118,63799999999999","662,4","10432,800000000001","276928,8012","310500,6048","35837,5572","13503,600000000002","25,2","5623,1388","612,0252","2,6784","18925,8984","196,9524","225,6012","149,50080000000003","0,0","0,0","0,0","13954,968000000003","1389,6000000000001","9200,0664","6710,2092","129,5856","0,0","34808,4","407,35440000000006","1706,4","341,79120000000006","33571,8036","0,0"
2008,"0,0","14840,028000000002","0,0","11474,82","55,9152","41,544","5216,6844","96940,8","11300,4","236749,554","131,89679999999998","688,8815999999999","11716,077599999999","310320,4752","344762,52839999995","37456,6968","14295,599999999999","75,96","6978,7764","751,9860000000001","1,6703999999999999","21246,429599999996","247,44240000000005","250,7328","161,208","0,0","0,0","0,0","16937,4312","1429,2","13025,6352","6668,845200000001","85,97160000000001","0,0","36831,5784","1037,934","1861,2","512,2620000000001","34442,0532","0,0"
2009,"0,0","15251,940000000002","0,0","12921,642000000002","26,6472","95,46480000000001","6654,470400000001","105310,8","11948,399999999998","249930,33479999998","1126,0044","783,2592","12556,800000000001","336164,6448","374739,8076","31442,335200000005","14868,0","89,8884","8405,416799999999","905,7024","1,9044","21992,0328","367,5456000000001","281,46599999999995","172,35359999999997","0,0","0,0","0,0","21735,162","817,2","18804,0708","7508,847599999999","37,940400000000004","0,0","40267,476","677,7792","1933,2","905,9436000000001","38575,162800000006","0,0"
2010,"0,0","16021,4328","0,0","14622,408000000001","126,86040000000001","126,44640000000001","7784,953199999999","117525,6","16535,1132","284424,25680000003","2664,0360000000005","683,9999999999999","14454,0","383590,8972","427735,0332","39507,17040000001","15987,6","118,9332","8267,252400000001","1131,8976000000002","0,0","22902,0912","528,4836","302,904","234,3564","0,0","0,0","0,0","25158,5928","1238,4","22692,924000000003","9409,2804","397,764","0,0","43242,84","780,7571999999999","2383,2000000000003","1198,4544","44144,136","0,0"
2011,"0,0","16371,918000000001","0,0","16112,059200000002","200,6532","185,796","9732,51","131428,80000000002","15749,4996","314448,4656","2811,7188000000006","744,5340000000001","16592,4","416607,62400000007","464538,114","40481,3988","18130,8528","195,282","6692,490000000001","1209,78","0,0","29285,625600000003","568,7424000000001","334,72440000000006","425,4695999999999","0,0","0,0","17,676000000000002","25367,5008","1220,4","27358,239599999997","10524,761999999999","708,0840000000001","0,0","41522,4","906,3072000000001","2948,4","1234,2276000000002","47930,490000000005","0,0"
2012,"0,0","16843,32","0,0","18191,0772","236,9772","179,3484","12138,1416","154645,2","16005,427200000002","349761,2292","3603,2508000000003","735,4584000000001","17917,2","465418,2744","518463,6876","40319,9496","18920,8332","338,0616","5957,377200000001","1594,0656","0,0","33715,3932","783,4140000000001","338,4396","1036,0295999999998","0,0","0,0","32,025600000000004","25934,021999999997","1173,6000000000001","36338,58","10622,358","762,0803999999999","21,6","43880,4","962,244","3387,6","2130,9552000000003","53045,4132","0,0"
2013,"0,0","16904,545199999997","0,0","17488,036799999998","402,16679999999997","175,91039999999998","14618,541600000002","162813,6","15524,683200000001","374433,0696","2394,0","779,0724000000001","20875,6404","484759,9332","549922,9896","43239,312","19934,168400000002","452,50199999999995","6595,3368","1749,1716","0,0","47996,4744","1283,67","339,15960000000007","1804,6836000000003","0,0","0,0","21,2112","21435,757200000004","1425,6000000000001","31037,5296","10983,9276","904,5036000000002","72,0036","40791,6","935,1288","3279,6","3163,0248","65163,05639999999","0,0"
2014,"0,0","16371,334800000002","0,0","15779,52","722,8512","181,7352","16788,6936","172634,4","15460,4052","384655,9608","2728,8","790,7796","19489,5144","501935,0904000001","583367,3172","42329,8368","21271,9032","592,4808000000002","7654,9968","1947,5100000000002","0,0","51808,734000000004","1439,5104","414,81","2408,2596000000003","0,0","0,0","23,227200000000007","18046,098","928,8000000000001","35915,313599999994","10972,382399999999","1815,1884000000002","79,20360000000001","38329,200000000004","916,4051999999999","5101,2","3888,5004000000004","81432,22679999999","0,0"
2015,"0,0","16731,1908","0,0","19562,04","972,6660000000002","184,4496","17240,796","179639,99999999997","15031,619999999997","399665,24640000006","2735,9999999999995","833,1336000000001","20749,841999999997","517940,51399999997","620430,5592","41100,515999999996","23476,0824","954,6515999999999","7780,4352","1722,9132000000004","0,0","52205,8032","1607,4936000000002","453,4704","2770,182","0,0","72,78840000000001","23,922","17761,9788","921,6","35758,9476","11174,1228","1882,9512000000002","82,8036","38653,200000000004","948,9060000000002","5983,2","4462,704000000001","102490,04520000001","0,0"
2016,"0,0","17206,545599999998","0,0","19507,68","1273,0104000000001","187,2756","17119,188000000002","181580,4","17432,8668","408475,20599999995","3186,0","987,2279999999997","20483,748","525038,7960000001","628183,9367999999","41468,0112","27121,597200000004","1553,1264","7456,046400000001","2445,1775999999995","0,0","53275,37399999999","1581,57","504,0648","2965,6584","0,0","129,71880000000002","29,905199999999997","17656,3908","838,8000000000001","28630,98","11053,605600000003","1910,4912000000002","122,40359999999998","41187,8808","1003,3740000000001","6231,6","5880,1608","103145,14080000001","0,0"
2017,"0,0","17714,1996","21,6","20669,4","1425,5316","186,3","17881,1208","181724,40000000002","22544,9388","415084,14360000007","3735,7236000000007","1116,1008000000002","21880,799999999996","535161,6576","643248,2376000001","42671,26440000001","27957,171599999998","1892,16","7754,4","2638,4364","0,0","53692,520399999994","1813,1327999999999","617,2308","3350,304","0,0","185,58360000000005","35,049600000000005","16557,6492","867,6","23348,358","11593,069199999998","1890,6048000000003","270,6768","43340,399999999994","1025,7912000000001","6105,6","7538,4792","108086,57999999999","0,0"
2018,"0,0","17746,92","28,8","19427,760000000002","5372,3808","204,82559999999998","17381,8008","181461,6","21231,5328","419644,12320000003","4705,2","1130,652","21236,4","542124,5868","660456,9864","46451,95560000001","30006,9288","2405,16","8251,2","3038,6087999999995","0,0","53502,768000000004","1954,8000000000002","782,6472000000001","3397,05","0,0","194,57999999999998","32,2272","16398,8208","734,3568000000001","23565,121199999998","11361,045600000001","1573,6680000000003","366,1992","42699,6","953,9135999999999","5850,0","9520,0344","118332,39959999999","0,0"
